outcome,outcome_label,event_time,att,std_error,p_value,ci_low,ci_high,annual_cohorts,treated_pairs
rd_intensity_w,研发投入强度,-5,-0.0010642136771445022,0.0017289765596837678,0.5382136468321972,-0.0044530077341246865,0.0023245803798356826,3,477
rd_intensity_w,研发投入强度,-4,-0.0012130626867728558,0.0013808453078083852,0.3796763331177768,-0.003919519490077291,0.0014933941165315792,3,539
rd_intensity_w,研发投入强度,-3,-0.0011883327543948535,0.0015973062530695577,0.45690037380430426,-0.0043190530104111865,0.0019423875016214797,3,620
rd_intensity_w,研发投入强度,-2,-0.0005620850937325106,0.0011999337171610842,0.6394770336042352,-0.0029139551793682357,0.0017897849919032143,3,649
rd_intensity_w,研发投入强度,0,0.0049450259812955704,0.0011968189976069988,3.5992143420037657e-05,0.002599260745985853,0.007290791216605288,3,660
rd_intensity_w,研发投入强度,1,0.008995989639502027,0.002008329295538172,7.487420808850129e-06,0.0050596642202472095,0.012932315058756845,3,660
rd_intensity_w,研发投入强度,2,0.00819457547949988,0.00159084171166651,2.589710938832087e-07,0.00507652572463352,0.01131262523436624,3,659
rd_intensity_w,研发投入强度,3,0.008914290462122804,0.0012800558987667472,3.3077913895017314e-12,0.006405380900539979,0.01142320002370563,2,568
rd_intensity_w,研发投入强度,4,0.008327175672351313,0.0012182069319359964,8.166233760111289e-12,0.00593949008575676,0.010714861258945866,1,441
ln_patent_invention,发明专利申请,-5,0.03695534647202651,0.031186951207751747,0.23603254280977415,-0.02417107789516692,0.09808177083921993,3,477
ln_patent_invention,发明专利申请,-4,0.06438955141697125,0.03953898434594065,0.10341721914339255,-0.013106857901072425,0.14188596073501492,3,539
ln_patent_invention,发明专利申请,-3,0.044578011854968985,0.0382477567091891,0.2438140010568527,-0.03038759129504165,0.11954361500497962,3,620
ln_patent_invention,发明专利申请,-2,0.02168489400670073,0.03692466429047352,0.5570197235358721,-0.05068744800262737,0.09405723601602883,3,649
ln_patent_invention,发明专利申请,0,0.19513639053513904,0.021482297670215752,1.0505113765198814e-19,0.15303108710151617,0.2372416939687619,3,660
ln_patent_invention,发明专利申请,1,0.2608461005989129,0.03414869220977999,2.197012413943468e-14,0.19391466386774409,0.3277775373300817,3,660
ln_patent_invention,发明专利申请,2,0.34752619058874384,0.036601342019141204,2.204165840015422e-21,0.2757875602312271,0.4192648209462606,3,659
ln_patent_invention,发明专利申请,3,0.2955264046346736,0.03973949509255527,1.0331615217879995e-13,0.21763699425326527,0.37341581501608195,2,568
ln_patent_invention,发明专利申请,4,0.36273748876741074,0.03422404816415566,3.014844200550218e-26,0.2956583543656657,0.4298166231691558,1,441
